"species_group_label";"prediction";"error";"grouping"
"FI";33,9691456012294;0,497512506586033;"conifer"
"TA";7,99971033422974;0,253156122081137;"conifer"
"DGL";3,37185094122167;0,157245423563603;"conifer"
"KIE";5,58481905493661;0,218553145335019;"conifer"
"LAE";1,76833653476758;0,0865678202466183;"conifer"
"sNB";0,469877064925086;0,0572587889177698;"conifer"
"BU";21,8136258163657;0,392239679332439;"deciduous"
"EI";7,05250096043027;0,226761402556839;"deciduous"
"REI";0,538397233960815;0,059160429882746;"deciduous"
"ES";4,91372646945832;0,169849882166813;"deciduous"
"BA";3,65022666154437;0,137906630574863;"deciduous"
"HB";1,43595082597003;0,0806802789826653;"deciduous"
"sALH";2,17737610449481;0,109612521393389;"deciduous"
"BI";1,24868228966577;0,0805661157918473;"deciduous"
"ER";1,08279677295428;0,0852946611195881;"deciduous"
"PA";0,724697656550135;0,0765991333570295;"deciduous"
"sALN";2,19827967729543;0,104578534434981;"deciduous"
